formula,capacity
Li0.74Ce0.26Ga2,109.58402450606314
Li2.88Ce1.12Ga8,105.07610123020704
Li0.74La0.26Ga2,109.77481298159644
Li0.74Pr0.26Ga2,109.45981756308753
Li0.74Nd0.26Ga2,108.93934179340916
Li2.2Mn3.8O8,167.5156863487735
Li2.14Mn3.84O8,162.12677162614588
Li1.968Mn4O7.88,146.74169278457396
LiMn2O4,148.24441740712066
Li27.44Si4.56N15.49,1373.5244270796795
Li3CeSb2,198.82477047586084
Li3PrSb2,198.43717869627804
Li3NdSb2,196.81988023561277
Li3SmSb2,193.9152801221767
Li3DySb2,188.4000249898479
Li3HoSb2,187.3335352264697
Li3.504Mn2.124O6,396.2977927149614
Li3.504Mn2.19O6,390.3261612944389
Li2.11Mn3.89O8,158.71512577792745
LiMn2O4,148.24441740712066
Li8Mn16O31.9968,148.2496646024168
LiMn2O4,148.24441740712066
Li2MnO3,458.92065666076974
Li0.909Co1O2,250.58243415208344
Li0.898Co1O2,247.74458285686737
Li0.283Co1O2,81.66265408927528
Li0.987Co1O2,270.5782661132326
Li0.975Co1O2,267.5164071043145
Li0.366Co1O2,104.96233160201207
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
LiMnAs,195.94417885378547
Li3CeBi2,138.91288075084933
Li3PrBi2,138.72357064407987
Li3SmBi2,136.4983987959851
Li3GdBi2,134.92050176445255
Li2Sn2Au,119.59558103623066
Li1.59W4O12,45.41888170854066
Li1.599W4O12,45.672929705844325
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li3VO4,592.3443331369083
LiCoO2,273.8893997706708
Li0.51Co1O2,144.71176204499378
LiMn2O4,148.24441740712066
Li4SnSe4,231.92710999593828
Li2SnSe3,145.10274477254205
Li2Ti3O7,198.9420816722185
Li2IrO3,210.98430189339282
Li2.74Fe0.26N1,1544.7840737617016
Li5W2O7,260.56179823822424
Li2.6668Ti3.3332O8,233.56711611672006
Li2.6668Ti3.3332O8,233.56711611672006
Li(BH)5,405.9602537567099
Li(BH)5,405.9602537567099
Li3B17H15,366.0127744147589
Li3.444Ca30Zn59.556,18.030668669054926
Li4.38Ca30.454Zn58.62,23.09565003678623
Li2MnO3,458.92065666076974
Li1.88Ti4O8,151.5553106878857
Li26Al32.76Zn21.24,284.1219989288295
Li4Al3.42Zn11.58,122.24183158546518
LiMn2O4,148.24441740712066
LiFe5O8,64.72192376361005
Li1.9Mn4.1O8,138.9874346565756
Li2Tl0.5Cd1.5,188.31730196923306
Li2TlCd,162.12874198176766
Li1Tl0.5Cd0.5,162.12874198176766
Li1Tl0.875Cd0.125,134.14599393493293
LiAlSi,432.312806314903
LiAlGe,251.5772459460869
Li2.57Co0.43N1,1204.676654789183
Li2.7Cu0.3N1,1396.8825634314965
Li2.2Ti0.2As1,591.120814068308
Li2Mg0.6Ga1.4,425.2312200267072
LiMg2Ga,213.97711841781995
LiMg2Ge,209.1243217003866
LiMg2Pb,102.01924093455969
LiMg2Tl,103.12605530548824
Li2Tl1.4Ag0.6,146.98687567134164
Li2In1.75Au0.25,203.02817042163585
Li0.5Sb0.5Se1,93.5229766085952
Li2InPd,228.01595402820308
Li0.5In0.5Se1,95.8436625985253
Li2ZnSb,266.6954089698096
Li0.5Pr0.5S1,126.45919495945444
Li0.5Nd0.5S1,124.5032770810755
Li0.5Sm0.5S1,121.06203394253254
Li0.5Eu0.5S1,120.19350531591586
Li0.5Gd0.5S1,117.40859163223492
Li0.5Tb0.5S1,116.55096115290036
Li0.5Dy0.5S1,114.76946204639303
Li0.5Y0.5S1,167.5703309175422
LiHoS2,113.5876755606405
LiErS2,112.47715489910858
LiYbS2,109.8093300379155
LiTiS2,225.39503691807207
LiTiSe2,126.00918339259032
Li1H0.66Pt1,132.25210807393393
Li1H0.7Pd1,235.00122346750953
Li2UO4,169.70374825460138
Li2CN2,994.4557802098147
LiTiS2,225.39503691807207
LiBO2,538.8051367950866
Li2ReO3,216.09541340284218
Li2SO4,487.6397226770158
Li3.92Mo4O8,194.947758865557
Li3.92Mo4O8,194.947758865557
Li3.92Mo4O8,194.947758865557
LiMn3O4,113.69848810466388
Li4.04Mn4O8,288.1722619954051
Li2NbF6,242.81934140349077
Li4Re6S11,71.59221076746849
LiIO3,147.41286601163415
LiIO3,147.41286601163415
LiV2O4,155.10679062351323
Li1.8V4O8,140.1589533248899
Li(MoO3)3,61.08971388490065
LiV2O5,141.96353964387012
Li(Mo4O5)2,28.683154873580108
LiTm2Cl5,51.34672072704828
Li1.8Mo12O34,28.25120089560698
Li0.19V1O2,60.44552788149287
Li0.37V1O2,115.99006822249615
Li4TeO5,455.5668857164439
Li2PrO3,264.3676271567194
Li2MnF5,327.2562026071976
Li6CoCl8,418.65146506320986
Li2CoCl4,249.8071437077075
Li0.195Eu0.805S1,33.56264552730996
Li7.07Fe4.69S8,333.9718426768352
Li4.02Mn4O8,286.8516146389578
Li0.38Mn4O8,29.07018409710783
Li2FeCl4,253.45047210074983
LiVO2,298.23715571379125
LiVO2,298.23715571379125
Li0.72V1O2,219.4758053511158
Li1.16Nb2O4,120.58541471903013
Li2RuO3,329.00344345572944
Li2CrCl4,258.14286937168293
Li2MnO3,458.92065666076974
LiGaCl3,146.46804082527228
LiGaI3,58.608928915446924
LiFe2F6,115.22828334933394
Li2CoCl4,249.8071437077075
Li2ZnCl4,242.51837108075236
Li1.333Mo0.667O2,339.4956540534099
Li0.604Mo0.666O2,161.75276389478051
Li2NiF4,360.8402005149733
LiAsO3,206.41569940056027
Li2.032Ti3.44O8,177.55926202456013
LiCoF4,188.94449535176963
LiCoF4,188.94449535176963
Li3ThF7,208.40892206154223
Li3ThF7,208.40892206154223
Li2CuO2,489.9302826669267
Li5SbO5,566.809514411646
Li5BiO5,414.0749437029714
LiSbO3,151.700936930139
Li2Zr1.5O4,249.68382007447565
Li0.14Y0.86H2.7,46.820552480024034
LiMn2O4,148.24441740712066
Li1.77628Mn3.5526O8,141.91697931394734
LiMn2O4,148.24441740712066
Li2.30436Mn3.40856O8,186.46960499477504
LiMn2O4,148.24441740712066
Li2.30436Mn3.40856O8,186.46960499477504
LiMn2O4,148.24441740712066
Li2.30436Mn3.40856O8,186.46960499477504
LiMn2O4,148.24441740712066
LiMn2O4,148.24441740712066
LiTaO3,113.63582837574954
LiTaO3,113.63582837574954
Li0.5Fe0.5O1,282.80377227995524
LiMn2O4,148.24441740712066
Li4.02Mn4O8,286.8516146389578
Li8GeP4,850.8147101895862
