formula,capacity
Na5Co2S5,340.94217338093097
Na2Ta4O11,56.68454726375174
Na2NbF6,211.99714935232126
Na3AgS2,333.7345064187694
Na3TlO2,263.35898695486054
NaV6O11,53.1192270684572
Na0.899Mo6O17,27.751131049201643
Na4TeO5,357.9323748905803
Na3AuS2,243.64257003777087
NaNb3O8,62.38086224961033
Na1.2Nd2Cl6,60.833232469942715
Na0.99Pr2Cl6,51.30199286614738
NaCu3F7,77.3323434793368
NaIO3,135.45684751910431
Na4SnO4,390.3674308159691
NaTeF5,109.14758563278454
NaUO3,86.74375624734824
NaTi2O4,146.69969766180446
Na2.4Fe10.988O16.03,69.52843846065652
Na2PdCl4,182.22675428657752
Na4.16Ti8O18,145.4667819732972
NaCuO2,226.13851956836368
NaRhO2,169.76285975652664
Na3PS4,352.42026902266014
Na3PS4,352.42026902266014
Na3PS4,352.42026902266014
Na3PS4,352.42026902266014
Na3PS4,352.42026902266014
Na3PS4,352.42026902266014
Na2.97P1S4,349.95382301886247
Na1.52Co2O4,187.93146851197227
NaFeO2,241.85099973433987
NaFeO2,241.85099973433987
Na2Te4O9,76.54574818114611
Na(RhO2)2,91.54590196904327
NaCr2O4,140.35057100139042
Na5.93P1.996S8,349.6365501406806
Na5.9968P1.996S8,352.3847834739497
Na6.006P1.992S8,352.85762538681644
Na2.991P1S4,351.6819021887975
Na5.984P1.99S8,352.00310869920077
NaNbO3,163.55222553055327
NaNbO3,163.55222553055327
Na1.58Co2O4,194.11477906181005
Na1.6Co2O4,196.15854488981583
Na0.978Fe1.558S2,151.00353148295233
Na30.1Ga54.636Au5.364,145.17040431187345
Na(Ga2Au)2,38.523581541767236
Na5(Ga8Au5)2,41.88082742418729
Na(GaAu2)2,28.206991732808408
Na1.9998Zn1.0002Sn4.9998,76.04787958013637
Na2ZnSn5,76.0538382362445
Na3PaF8,177.90904331025126
Na2MgPb,193.20363663301117
Na3Ti6O13,142.53927289313663
Na5NpO6,299.1691468253968
Na4NpO5,262.15061299778057
Na1.782Al10.922O17,78.6110295483337
Na2.556Al21.808O34,57.520416452684394
Na8Al7.86Si38.14,146.16448155689375
NaAlSi,343.4188143687856
NaNiF3,193.28652794903167
NaCoF3,192.95677768179925
NaNiF3,193.28652794903167
NaNiF3,193.28652794903167
